,0
776,1109
777,1110
778,1112
779,1113
780,1114
781,324
782,1071
783,1027
784,759
785,462
786,724
787,484
788,1069
789,1118
790,1120
791,1126
792,1137
793,1142
794,1129
795,1140
796,1072
797,1130
798,1141
799,1145
800,1122
801,1133
802,1146
803,349
804,1115
805,1124
806,1062
807,1121
808,1119
809,1123
810,1128
811,1125
812,1135
813,781
814,779
815,908
816,732
817,569
818,156
819,93
820,1059
821,1063
822,1034
823,208
824,308
825,39
826,388
827,703
828,474
829,507
830,63
831,188
832,83
833,85
834,86
835,1150
836,1035
837,1157
838,1151
839,1127
840,1158
841,1116
842,1147
843,1159
844,1156
845,1155
846,1148
847,1152
848,1153
849,1154
850,1149
851,1166
852,1169
853,1163
854,1170
855,1168
856,1171
857,1160
858,1172
859,1164
860,1165
861,1161
